Date,Usage
1988-10-02,333.14
1988-10-09,474.99
1988-10-16,440.06
1988-10-23,482.15000000000003
1988-10-30,440.03000000000003
1988-11-06,442.95
1988-11-13,451.61
1988-11-20,467.68
1988-11-27,433.45
1988-12-04,474.33
1988-12-11,429.06
1988-12-18,422.13
1988-12-25,398.63
1989-01-01,422.96
1989-01-08,478.92
1989-01-15,458.48
1989-01-22,476.15
1989-01-29,390.0
1989-02-05,440.63
1989-02-12,435.94
1989-02-19,465.28
1989-02-26,472.02
1989-03-05,449.99
1989-03-12,420.11
1989-03-19,468.46999999999997
1989-03-26,498.53000000000003
1989-04-02,436.47999999999996
1989-04-09,500.66
1989-04-16,437.41
1989-04-23,441.28000000000003
1989-04-30,472.9
1989-05-07,456.68
1989-05-14,473.22
1989-05-21,419.37
1989-05-28,467.75
1989-06-04,470.78999999999996
1989-06-11,352.16
1989-06-18,451.9
1989-06-25,483.34999999999997
1989-07-02,479.27
1989-07-09,385.61
1989-07-16,439.7
1989-07-23,419.57
1989-07-30,432.83
1989-08-06,477.3
1989-08-13,482.33
1989-08-20,477.73
1989-08-27,520.52
1989-09-03,444.98
1989-09-10,435.94
1989-09-17,446.08
1989-09-24,439.0
1989-10-01,408.45
1989-10-08,400.65
1989-10-15,459.69
1989-10-22,495.15
1989-10-29,410.32
1989-11-05,428.33
1989-11-12,442.36
1989-11-19,433.39
1989-11-26,470.29
1989-12-03,416.67
1989-12-10,471.44
1989-12-17,376.91
1989-12-24,491.33
1989-12-31,478.37
1990-01-07,505.72
1990-01-14,401.58
1990-01-21,454.24
1990-01-28,409.46000000000004
1990-02-04,488.15
1990-02-11,444.44
1990-02-18,471.65
1990-02-25,457.75
1990-03-04,411.78999999999996
1990-03-11,380.52
1990-03-18,466.44
1990-03-25,470.78
1990-04-01,492.33
1990-04-08,476.49
1990-04-15,411.64
1990-04-22,497.95
1990-04-29,417.25
1990-05-06,479.69
1990-05-13,487.27
1990-05-20,464.99
1990-05-27,475.57
1990-06-03,434.15999999999997
1990-06-10,408.87
1990-06-17,445.55
1990-06-24,441.23
1990-07-01,468.61
1990-07-08,436.14
1990-07-15,456.44
1990-07-22,412.33000000000004
1990-07-29,481.12
1990-08-05,473.4
1990-08-12,455.02
1990-08-19,401.41999999999996
