Date,Usage,Temp,ph,TDS
1/26/2020,19,24.448,3.716080075,20791.31898
2/24/2020,25,24.448,3.716080075,18630.05786
3/23/2020,21,24.545,8.099124189,19909.54173
4/23/2020,10,24.448,8.316765884,22018.41744
1/26/2020,7,24.351,9.092223456,17978.98634
2/24/2020,8,24.351,5.584086638,28748.68774
3/23/2020,6,24.545,10.22386216,28749.71654
4/23/2020,1,24.641,8.635848719,13672.09176
1/26/2020,384,24.641,3.716080075,14285.58385
2/13/2020,187,24.641,11.18028447,25484.50849
1/26/2020,417,24.738,7.360640106,32452.61441
2/13/2020,268,24.738,7.974521649,18767.65668
1/26/2020,513,24.835,7.119824384,18730.81365
2/13/2020,211,24.931,3.716080075,27331.36196
1/26/2020,640,24.835,7.496232208,28388.00489
2/13/2020,357,24.835,6.347271761,41065.23476
2/9/2020,3,24.835,7.0517858,30980.60079
2/9/2020,23,24.931,9.181560007,24041.32628
3/11/2020,3,24.835,8.975464348,19460.39813
3/11/2020,24,24.835,7.371050302,25630.32004
4/9/2020,3,24.931,3.716080075,22305.56741
4/9/2020,22,24.931,6.660212026,30944.36359
1/26/2020,37,24.931,3.716080075,17107.22423
2/24/2020,37,25.028,3.902475686,21167.5001
3/23/2020,47,25.319,5.400301781,17266.59342
4/23/2020,247,24.738,6.514415093,21218.70287
1/26/2020,60,25.125,3.445061864,33424.76868
2/24/2020,0,25.028,3.716080075,13224.93564
3/23/2020,0,25.416,3.716080075,26362.96501
4/23/2020,0,24.931,3.716080075,15193.41347
1/26/2020,1991,25.125,7.181448581,15196.22999
2/24/2020,1736,24.931,9.825489908,19677.89247
3/23/2020,1609,25.028,10.43329098,22326.89205
4/23/2020,1737,25.513,7.414148196,32555.85254
1/26/2020,166,25.028,3.716080075,14787.20626
2/24/2020,141,25.319,5.115817064,19620.54533
3/23/2020,148,25.416,3.641629777,24752.07246
4/23/2020,159,25.513,5.618064406,17281.97517
1/26/2020,323,25.708,3.716080075,19942.27322
1/26/2020,336,25.513,9.267187531,24683.72357
12/26/2020,698,25.513,3.716080075,11703.92391
2/24/2020,583,26.39,5.331940479,16658.8765
2/24/2020,307,26.781,7.145771545,28780.34043
2/24/2020,317,26.781,9.920691059,9973.934059
3/23/2020,571,26.781,4.758439425,21568.42878
3/23/2020,275,26.781,5.702925977,35606.44018
3/23/2020,354,26.879,6.953864226,10575.18628
4/23/2020,641,26.195,10.68296643,15758.74062
4/23/2020,378,26.195,3.716080075,34415.85315
4/23/2020,423,26.39,8.757257397,21536.22469
1/25/2020,315,26.195,3.716080075,27492.30731
2/23/2020,296,25.708,7.809631898,12013.55063
